order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_amount
OI00001,ORD0001,P011,3,5999,17997,0
OI00002,ORD0001,P010,1,1499,1349.1,149.9
OI00003,ORD0002,P018,3,8995,26985,0
OI00004,ORD0003,P014,1,41999,41999,0
OI00005,ORD0004,P016,3,64999,194997,0
OI00006,ORD0004,P006,1,109900,109900,0
OI00007,ORD0005,P019,2,2499,4998,0
OI00008,ORD0005,P004,2,26999,51298.1,2699.9
OI00009,ORD0006,P016,2,64999,129998,0
OI00010,ORD0006,P005,1,114900,114900,0
OI00011,ORD0006,P017,2,34999,69998,0
OI00012,ORD0007,P015,1,14999,14999,0
OI00013,ORD0007,P009,2,26990,51281.0,2699.0
OI00014,ORD0007,P006,3,109900,329700,0
OI00015,ORD0008,P020,3,8499,25072.05,424.95
OI00016,ORD0009,P017,1,34999,33249.05,1749.95
OI00017,ORD0009,P011,3,5999,17997,0
OI00018,ORD0010,P005,2,114900,229800,0
OI00019,ORD0011,P001,2,74999,146248.05,3749.95
OI00020,ORD0012,P015,2,14999,29998,0
OI00021,ORD0013,P019,1,2499,2499,0
OI00022,ORD0013,P020,3,8499,25497,0
OI00023,ORD0014,P008,2,61999,123998,0
OI00024,ORD0014,P002,1,69999,66499.05,3499.95
OI00025,ORD0014,P004,3,26999,78297.1,2699.9
OI00026,ORD0015,P010,2,1499,2848.1,149.9
OI00027,ORD0015,P004,1,26999,26999,0
OI00028,ORD0015,P020,1,8499,8074.05,424.95
OI00029,ORD0016,P015,3,14999,43497.1,1499.9
OI00030,ORD0017,P014,2,41999,79798.1,4199.9
OI00031,ORD0017,P018,3,8995,26985,0
OI00032,ORD0018,P020,1,8499,7649.1,849.9
OI00033,ORD0019,P017,1,34999,31499.1,3499.9
OI00034,ORD0019,P012,1,24900,24900,0
OI00035,ORD0020,P017,1,34999,34999,0
OI00036,ORD0020,P007,2,72999,138698.1,7299.9
OI00037,ORD0020,P018,2,8995,17990,0
OI00038,ORD0021,P007,1,72999,65699.1,7299.9
OI00039,ORD0021,P019,2,2499,4998,0
OI00040,ORD0021,P016,2,64999,129998,0
OI00041,ORD0022,P014,3,41999,123897.05,2099.95
OI00042,ORD0022,P015,3,14999,44997,0
OI00043,ORD0022,P002,3,69999,209997,0
OI00044,ORD0023,P009,3,26990,80970,0
OI00045,ORD0023,P001,3,74999,224997,0
OI00046,ORD0024,P014,2,41999,83998,0
OI00047,ORD0025,P002,1,69999,69999,0
OI00048,ORD0025,P003,2,54999,109998,0
OI00049,ORD0025,P016,1,64999,61749.05,3249.95
