order_id,customer_id,order_date,order_status,order_channel,shipping_city,discount_amount,total_amount
ORD0001,C032,2024-02-22 19:49:00,DELIVERED,In-Store,Surat,0,119739.74
ORD0002,C073,2025-02-04 08:22:00,DELIVERED,In-Store,Pune,0,76635.18
ORD0003,C044,2024-01-07 21:26:00,DELIVERED,Website,Kolkata,0,95884.39
ORD0004,C059,2024-12-28 10:27:00,PROCESSING,In-Store,Chennai,1000,121517.58
ORD0005,C069,2025-01-31 15:29:00,DELIVERED,In-Store,Surat,0,49362.23
ORD0006,C032,2025-03-01 22:05:00,DELIVERED,Mobile App,Hyderabad,500,86122.67
ORD0007,C086,2024-07-13 13:01:00,DELIVERED,Mobile App,Bangalore,500,32999.8
ORD0008,C034,2024-06-23 12:56:00,DELIVERED,Mobile App,Jaipur,0,78219.15
ORD0009,C025,2024-02-13 11:46:00,DELIVERED,In-Store,Hyderabad,2000,72199.83
ORD0010,C092,2024-09-08 15:50:00,PENDING,Mobile App,Hyderabad,500,104230.39
ORD0011,C040,2024-12-05 17:23:00,DELIVERED,In-Store,Pune,500,149499.77
ORD0012,C071,2024-06-18 13:44:00,DELIVERED,Mobile App,Chennai,0,19417.4
ORD0013,C025,2024-06-10 09:47:00,DELIVERED,In-Store,Bangalore,0,33633.12
ORD0014,C062,2024-05-21 19:37:00,CANCELLED,In-Store,Surat,0,147105.83
ORD0015,C025,2024-05-31 11:23:00,PROCESSING,Website,Jaipur,0,42235.23
ORD0016,C007,2024-10-10 12:44:00,CANCELLED,In-Store,Ahmedabad,0,131098.88
ORD0017,C074,2024-05-25 15:30:00,DELIVERED,Website,Mumbai,0,141247.94
ORD0018,C062,2024-02-28 21:04:00,DELIVERED,Website,Surat,2000,103437.98
ORD0019,C020,2024-03-17 20:36:00,CANCELLED,Website,Hyderabad,0,84373.85
ORD0020,C054,2024-11-06 17:50:00,DELIVERED,In-Store,Kolkata,500,136412.9
ORD0021,C039,2025-03-16 17:27:00,DELIVERED,In-Store,Mumbai,1000,144076.15
ORD0022,C013,2025-04-30 20:13:00,DELIVERED,Mobile App,Delhi,0,37119.98
ORD0023,C071,2024-02-08 10:00:00,DELIVERED,In-Store,Surat,500,44752.0
ORD0024,C030,2024-05-27 19:18:00,DELIVERED,Mobile App,Delhi,2000,36163.44
ORD0025,C034,2025-02-07 20:40:00,DELIVERED,Website,Kolkata,0,82367.51
ORD0026,C083,2024-03-17 22:17:00,DELIVERED,Website,Mumbai,0,119205.34
ORD0027,C077,2025-01-18 21:36:00,CANCELLED,Mobile App,Delhi,500,103768.68
ORD0028,C090,2024-07-25 12:32:00,DELIVERED,Mobile App,Delhi,1000,7419.33
ORD0029,C056,2025-01-11 13:38:00,DELIVERED,Website,Hyderabad,2000,125639.85
ORD0030,C074,2024-10-27 08:48:00,DELIVERED,Mobile App,Surat,0,114821.69
ORD0031,C023,2024-08-28 16:41:00,DELIVERED,Mobile App,Bangalore,1000,66228.92
ORD0032,C063,2025-05-11 09:30:00,DELIVERED,Mobile App,Pune,2000,17033.08
ORD0033,C021,2024-06-17 14:44:00,DELIVERED,In-Store,Kolkata,1000,6949.52
ORD0034,C012,2024-06-10 12:20:00,PROCESSING,Mobile App,Jaipur,0,99162.57
ORD0035,C070,2024-08-24 14:03:00,PROCESSING,Mobile App,Surat,500,94373.2
ORD0036,C098,2024-01-27 11:17:00,DELIVERED,Mobile App,Ahmedabad,2000,73479.7
ORD0037,C004,2025-05-13 18:38:00,DELIVERED,In-Store,Bangalore,0,83299.59
ORD0038,C071,2024-07-27 09:14:00,CANCELLED,Website,Ahmedabad,0,97684.89
ORD0039,C020,2024-09-12 22:45:00,DELIVERED,In-Store,Chennai,500,125456.51
ORD0040,C061,2024-05-04 15:35:00,PROCESSING,Website,Surat,1000,112324.44
ORD0041,C018,2025-03-18 09:17:00,DELIVERED,Mobile App,Pune,1000,41175.14
ORD0042,C001,2024-05-24 19:19:00,DELIVERED,In-Store,Ahmedabad,0,67812.29
ORD0043,C062,2024-06-25 13:35:00,DELIVERED,Mobile App,Ahmedabad,0,130635.85
ORD0044,C090,2024-05-02 17:24:00,PROCESSING,Mobile App,Mumbai,0,112088.72
ORD0045,C091,2025-04-12 20:24:00,DELIVERED,In-Store,Bangalore,500,144776.43
ORD0046,C017,2024-09-14 17:21:00,DELIVERED,Mobile App,Delhi,1000,136700.59
ORD0047,C002,2025-01-04 10:26:00,DELIVERED,Website,Delhi,500,117556.51
ORD0048,C034,2024-06-22 17:44:00,DELIVERED,Website,Pune,2000,129112.31
ORD0049,C049,2025-05-03 13:40:00,DELIVERED,Mobile App,Jaipur,0,93192.73
ORD0050,C031,2024-11-19 18:58:00,DELIVERED,Website,Delhi,500,146783.15
ORD0051,C098,2024-11-20 19:55:00,PROCESSING,Website,Chennai,0,8329.66
ORD0052,C008,2024-05-30 13:23:00,DELIVERED,Website,Jaipur,500,85540.32
ORD0053,C024,2024-03-28 10:05:00,DELIVERED,Mobile App,Surat,2000,37263.22
ORD0054,C075,2024-03-14 11:29:00,DELIVERED,Mobile App,Chennai,2000,2895.52
ORD0055,C060,2025-04-06 12:43:00,DELIVERED,Website,Ahmedabad,0,148166.28
ORD0056,C039,2024-11-23 14:44:00,DELIVERED,Mobile App,Hyderabad,500,128220.32
ORD0057,C014,2024-05-01 14:36:00,DELIVERED,Mobile App,Chennai,0,146724.76
ORD0058,C085,2024-07-21 12:00:00,DELIVERED,In-Store,Mumbai,1000,112158.06
ORD0059,C037,2025-02-01 20:14:00,DELIVERED,Mobile App,Hyderabad,2000,29734.6
ORD0060,C033,2024-12-13 20:46:00,DELIVERED,In-Store,Bangalore,2000,15928.84
ORD0061,C081,2024-11-26 08:19:00,DELIVERED,Website,Surat,0,110255.43
ORD0062,C012,2025-04-10 12:20:00,DELIVERED,Website,Hyderabad,0,118297.15
ORD0063,C047,2024-09-28 16:58:00,DELIVERED,Website,Chennai,500,145156.54
ORD0064,C038,2025-01-17 21:21:00,DELIVERED,Mobile App,Delhi,0,113491.5
ORD0065,C029,2025-03-16 18:46:00,DELIVERED,Mobile App,Jaipur,0,14909.98
ORD0066,C051,2024-01-08 12:34:00,PROCESSING,Mobile App,Chennai,1000,58082.29
ORD0067,C082,2025-04-26 13:06:00,DELIVERED,Mobile App,Mumbai,1000,132808.87
ORD0068,C072,2024-06-16 22:39:00,PROCESSING,Website,Ahmedabad,2000,46375.24
ORD0069,C053,2024-02-29 10:02:00,CANCELLED,Mobile App,Ahmedabad,0,15933.01
ORD0070,C069,2024-03-10 14:29:00,DELIVERED,In-Store,Jaipur,500,88720.04
ORD0071,C094,2024-03-20 22:26:00,DELIVERED,Mobile App,Surat,500,140949.38
ORD0072,C036,2024-01-17 19:23:00,PROCESSING,Mobile App,Hyderabad,0,16254.16
ORD0073,C088,2024-07-07 16:57:00,CANCELLED,Mobile App,Mumbai,500,42468.39
ORD0074,C016,2025-04-30 21:52:00,DELIVERED,In-Store,Hyderabad,2000,96464.7
ORD0075,C003,2024-01-26 20:21:00,PROCESSING,Website,Surat,0,11688.61
ORD0076,C098,2024-10-10 11:37:00,PROCESSING,Website,Pune,0,118613.6
ORD0077,C077,2024-01-02 12:54:00,CANCELLED,Website,Jaipur,0,120079.3
ORD0078,C015,2024-12-04 21:01:00,PROCESSING,Mobile App,Hyderabad,1000,49580.06
ORD0079,C023,2024-05-15 08:08:00,DELIVERED,In-Store,Delhi,2000,10938.37
ORD0080,C058,2025-02-02 13:32:00,DELIVERED,Mobile App,Jaipur,0,141894.22
ORD0081,C006,2025-01-07 20:58:00,DELIVERED,In-Store,Chennai,500,97036.09
ORD0082,C004,2024-02-01 15:54:00,DELIVERED,In-Store,Delhi,500,107291.6
